Was hospitalised for pneumonia last year,pneumonia,resolved,Last year is a past temporal marker
h/o seizures,seizures,resolved,h/o is clinical shorthand for history of
PMHx: hypertension,hypertension,resolved,Past medical history framing
s/p hip replacement,hip replacement,resolved,s/p means status post — past procedure
"h/o PE, on anticoagulation previously",pulmonary embolism,resolved,h/o with previously confirms historical
"Prior h/o depression, off medications",depression,resolved,Off medications suggests condition resolved
No chest pain,chest pain,negated,No is a negation cue
No fever,fever,negated,No is a negation cue
Patient denies nausea,nausea,negated,Denies is a negation cue
No cough,cough,negated,No is a negation cue
No history of diabetes,diabetes,negated,No history of negates prior diagnosis
Denies any shortness of breath,shortness of breath,negated,Denies any is a strong negation
No signs of infection,infection,negated,No signs of is a compound negation
No known cardiac history,cardiac disease,negated,No known negates condition history
Without evidence of fracture,fracture,negated,Without evidence of is a strong negation
"Lungs clear, no wheezing",wheezing,negated,No in compound context negates wheezing
CT scan negative for pulmonary embolism,pulmonary embolism,negated,Negative for is an explicit negation cue
Troponin negative,myocardial infarction,negated,Negative lab result negates condition
No acute distress,distress,negated,No negates acute distress
Cultures negative for growth,infection,negated,Negative for growth means no infection found
Imaging unremarkable,pathology,negated,Unremarkable means no pathology detected
No worsening of symptoms,symptoms,ongoing,No worsening is a pseudo-negation — condition still present
No deterioration noted,condition,ongoing,No deterioration is pseudo-negation — condition persists unchanged
No change from baseline,condition,ongoing,No change means condition still present at prior level
Possible diabetes,diabetes,ambiguous,Possible indicates diagnostic uncertainty
Suspected infection,infection,ambiguous,Suspected indicates uncertainty
Query hypertension,hypertension,ambiguous,Query signals diagnostic uncertainty
May have GERD,gastroesophageal reflux disease,ambiguous,May have is an uncertainty cue
Probable pneumonia,pneumonia,ambiguous,Probable indicates uncertainty
Cannot exclude malignancy,malignancy,ambiguous,Cannot exclude is a strong uncertainty cue
Symptoms may represent early heart failure,heart failure,ambiguous,May represent is an uncertainty cue
Differential includes PE,pulmonary embolism,ambiguous,Differential includes signals uncertainty
Working diagnosis of sepsis,sepsis,ambiguous,Working diagnosis means not yet confirmed
Clinical picture consistent with asthma,asthma,ambiguous,Consistent with signals uncertainty
I think I might have anxiety,anxiety,ambiguous,I think I might is a hedged uncertainty expression
Not sure if this is arthritis,arthritis,ambiguous,Not sure signals uncertainty
Could be a migraine,migraine,ambiguous,Could be is an uncertainty cue
Possibly related to stress,stress,ambiguous,Possibly is an uncertainty cue
I feel like something is wrong with my heart,cardiac disease,ambiguous,I feel like is a hedged uncertain expression
Findings suggestive of lymphoma,lymphoma,ambiguous,Suggestive of is an uncertainty cue
"Atypical presentation, etiology unclear",condition,ambiguous,Etiology unclear signals diagnostic uncertainty
Rule out endocarditis,endocarditis,ambiguous,Rule out means uncertain diagnosis
Indeterminate pulmonary nodule,pulmonary nodule,ambiguous,Indeterminate signals uncertainty
Equivocal stress test,cardiac disease,ambiguous,Equivocal means result is uncertain
Chest pain might indicate a cardiac event,chest pain,ambiguous,"Epistemic modal: diagnostic uncertainty, not confirmed ongoing"
Dyspnea could represent pulmonary hypertension,dyspnea,ambiguous,"Could represent: diagnostic hypothesis, not confirmed"
Elevated troponin may indicate myocardial injury,troponin,ambiguous,May indicate: uncertain diagnostic inference
Findings might suggest malignancy,malignancy,ambiguous,"Might suggest: uncertain, not confirmed finding"
Fever may represent occult infection,fever,ambiguous,May represent: diagnostic uncertainty
Weight loss might indicate underlying malignancy,weight loss,ambiguous,Might indicate: symptom points to uncertain diagnosis
Abdominal pain may represent appendicitis,abdominal pain,ambiguous,May represent: unconfirmed differential
Fatigue could indicate anemia or hypothyroidism,fatigue,ambiguous,Could indicate: multiple uncertain differentials
Back pain might be discogenic in origin,back pain,ambiguous,Might be: uncertain aetiology
Palpitations may indicate arrhythmia,palpitations,ambiguous,May indicate: uncertain cardiac cause
The cough might represent post-nasal drip,cough,ambiguous,Might represent: uncertain aetiology
Leg swelling could indicate deep vein thrombosis,leg swelling,ambiguous,Could indicate: unconfirmed diagnosis
Confusion may represent early encephalopathy,confusion,ambiguous,May represent: uncertain neurological cause
Nausea might be medication-induced,nausea,ambiguous,Might be: uncertain causation
Joint pain may indicate inflammatory arthritis,joint pain,ambiguous,May indicate: uncertain diagnosis
Chest pain may be recurring,chest pain,ambiguous,"May be: uncertain recurrence, not confirmed"
The abscess had drained spontaneously,abscess,resolved,Past perfect: drainage completed before the current encounter
Atrial fibrillation had converted to sinus rhythm,atrial fibrillation,resolved,Past perfect: conversion completed prior to reference point
Arrhythmia had converted spontaneously,arrhythmia,resolved,Past perfect: spontaneous resolution completed
Cellulitis had responded to antibiotics before discharge,cellulitis,resolved,Past perfect: response completed before discharge
Headache could be tension-type or migrainous,headache,ambiguous,"Epistemic: differential diagnosis, genuinely uncertain"
The effusion had resolved on follow-up imaging,effusion,resolved,Past perfect + resolved cue: clearly historical
The fracture had healed well,fracture,resolved,Past perfect: healing completed
The lesion had resolved without intervention,lesion,resolved,Past perfect + resolved cue: clearly historical
Records show hypertension,hypertension,resolved,Record attribution: no other resolved cue — attribution provides the resolved signal
Per records hypertension,hypertension,resolved,Per records: fragment with record attribution only
Per chart asthma,asthma,resolved,Per chart: terse clinical notation with record attribution
Medical records document diabetes mellitus,diabetes mellitus,resolved,Records document: record attribution without history-of cue
Records indicate migraine,migraine,resolved,Records indicate: record attribution only
Per EHR atrial fibrillation,atrial fibrillation,resolved,Per EHR: record attribution from electronic health record reference
Records show depression,depression,resolved,Records show: record attribution with no explicit resolved keyword
Medical records document prior seizures,seizures,resolved,Records document: prior in record context confirms historical
